"A_procjust","A_interjust","A_orgjust","A_genatrct","A_intpurs","A_prest","A_orgatrct","A_compete","A_socresp","A_support","A_innovate","B_procjust","B_interjust","B_orgjust","B_genatrct","B_intpurs","B_prest","B_orgatrct","B_compete","B_socresp","B_support","B_innovate","id","sex","ethnicity","age","employ1"
1.78,1,1.39,1,1.2,2.2,1.47,1.5,1.25,1,1.5,3.33,4.78,4.06,4.2,4.6,4.4,4.4,3,3.75,4.75,2.5,1,"Female","White",18,"Student"
3.56,3,3.28,5,5,4.8,4.93,4,3.5,4,3.5,4.11,4.67,4.39,5,4.8,5,4.93,4.5,4.5,4.25,4,2,"Female","White",18,"Student"
2,1.89,1.94,2.8,2.6,2.6,2.67,3.25,3.5,3,3.75,3.33,4.44,3.89,5,5,5,5,4.75,5,5,5,3,"Female","White",18,"Employed part time"
2.33,2.22,2.28,1.8,2,2.6,2.13,3.25,2.5,2.25,3.25,3.78,3.67,3.72,3.6,4.2,4,3.93,4,3.75,3.5,3.75,4,"Male","White",19,"Employed part time"
3.44,3.11,3.28,4.4,4.2,3.8,4.13,3.75,4,3.5,3.75,4.44,4.89,4.66,4.8,5,4.8,4.87,4.25,4.75,4.5,4.25,5,"Female","White",19,"Unemployed not looking for work"
4,2.78,3.39,4,3.8,3.8,3.87,3,3,2.5,3.75,3.11,3.33,3.22,3.6,3.6,3,3.4,3,3,2.5,2.75,6,"Female","White",19,"Student"
3,1.33,2.16,1.8,1.8,2,1.87,3,2.75,2.5,3,3.89,4.78,4.34,5,5,3.8,4.6,4.5,4,4.75,4.25,7,"Male","Asian",21,"Student"
3.44,2.67,3.05,2.2,3.4,3,2.87,4.25,4.75,4,5,3.78,4.56,4.17,4.8,4.6,5,4.8,4.75,4.5,4,4.5,8,"Male","Asian",18,"Student"
3.33,3.33,3.33,4,4.6,4.4,4.33,3.75,3.75,3.75,3.5,4.11,4.89,4.5,5,5,4.6,4.87,4.75,4.5,4.75,4.5,9,"Female","White",19,"Student"
4.44,4,4.22,4.6,4.2,4,4.27,3.75,3.75,3,3.75,4,4.78,4.39,4.2,4.4,4.2,4.27,3,3.25,3.25,3,10,"Male","Asian",20,"Employed part time"
2.67,2.22,2.45,2.4,2.8,2.8,2.67,3,3,2.75,3.5,3.56,4.33,3.95,4.4,4,3.6,4,3.5,3.25,3.25,3,11,"Female","White",18,"Student"
1.89,2.33,2.11,1,1,1,1,3.75,4.25,3.5,4.5,4.22,5,4.61,5,5,5,5,4.5,5,4.5,4.5,12,"Female","White",18,"Student"
2.78,2.56,2.67,2.4,2.8,2.8,2.67,3.25,2.5,2,3.25,2.44,4.67,3.55,5,4.2,3.6,4.27,2.75,3,3,2.75,13,"Female","White",19,"Student"
3.11,2,2.55,4.8,4.6,4.4,4.6,4.5,3.75,3.5,4,4.22,4.78,4.5,4.6,4.8,4.8,4.73,4.75,4.5,4.25,4.5,14,"Female","White",20,"Student"
4.44,3.89,4.16,5,5,NA,NA,5,4.25,4.5,5,3.67,4,3.84,5,4.8,4.8,4.87,5,3.5,3.25,4,15,"Female","White",22,"Unemployed looking for work"
3.56,2.89,3.22,4.4,4.2,4.4,4.33,4,2.75,2.25,4.5,2.44,3.33,2.88,3.2,3.2,3.4,3.27,3,2.25,2,3.75,16,"Female","White",20,"Student"
3.67,4.11,3.89,5,4.6,4,4.53,5,4.75,5,5,4.11,4.89,4.5,5,5,3.8,4.6,4.75,5,4.75,4.75,17,"Male","White",18,"Student"
