"JOB1","DEM1","DEM2","DEM3","DEM4","DEM5","FAM1","FAM2","FAM3","FEED1","FEED2","FEED3","FEED4","FEED5","FEED6","FEED7","FEEDBACK"
"Optometrist","Female","White","18","Student","Some college, but no degree","Very familiar","Yes","Very familiar","The AI hypothetical interview seems like an inefficient way to give an interview. The AI would be looking for specific words and could easily misunderstand what someone said. It also doesn't allow the person being hired to ask questions or figure out if they like the feel of the company. It's uncomfortable.","Human judgement could include bias based on race, gender, or any form of expression. AI judgment could also include bias based on race if there is any dialect or choice of words that the creators flag as a ""negative"" term.","I overall don't believe many interviews are an accurate assessment of ability because they are looking for specific words that anyone could say. However, I believe the AI interview is even less of an accurate assessment than the human one because it doesn't allow for any elaboration from an interviewer. You don't get to figure out if you are genuinely answering what they're looking for.","They both made sense.","Nothing that I noticed.","I think its fine!","I would definitely experience human interviews for a dream job in the real world. I don't believe that a job in the medical field would use AI since most medical jobs are interaction oriented.",""
"General Manager of the Seattle Storm","Female","White","18","Student","Some college, but no degree","Somewhat familiar","No","Somewhat familiar","","I think with advancing AI technology, it will compromise and threaten everyone's judgment of technology and threaten their identity. ","The video recording interview was not an accurate assessment of my ability because it's just me me recording myself, which isn't the best way to show the skills and abilities I have. ","It makes sense, just wouldn't prefer the video recording interview","","The video interview part","I would probably experience the human interview process, I don't think society is at the point yet for the AI interview. ",""
"Marketing Director","Female","White","18","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Very familiar","The online interview expressed a lot of concerns for me. I don't like that people are not talking to the job interviewers because it is easier to fake who you actually are behind a screen. A part of interviews is being able to answer questions in a pressured environment and that can't happen over a video. It is unfair when someone who lies gets a job versus someone who didn't just because they had an online video advantage.","No","It was not accurate because I was given time to think and change my answers and there was no personal connection with the interviewers so they don't even know who I actually am. ","It all made sense!","nothing ","nothing ","I think I would experience an in person human interview for my dream job.",""
"Optometrist","Male","White","19","Employed part time","Some college, but no degree","Familiar","Yes","Somewhat familiar","It being scored by AI rather than humans","no","It sounds like it was only looking for one answer","nothing","talking about hours and salary","n/a","human",""
"The dream job I want is to be a Doctor.","Female","White","19","Unemployed not looking for work,Student","Some college, but no degree","Unfamiliar","No","Familiar","The all online interview process gave me some concern. ","I don't think so, but I am not completely sure. ","I feel as if the all online interview was not very accurate as it is not reviewed by humans. ","Yes, it was easy to understand.","I don't think any information was left out of either process.","I find this study interesting, therefore I wouldn't personally make any changes.","I think for my dream job I most likely would be experiencing the interview process with humans. ",""
"Zoologist","Female","White","19","Student","Some college, but no degree","Somewhat unfamiliar","Yes","Somewhat familiar","A concern I had was with the person giving scores during the interview. They could have a bias that they don't even realize. ","I don't think that my identities could be threatened by AI or human judgement. ","I believe that it is not an accurate assessment of my ability because the questions are very vague and doesn't allow you to highlight strengths that could give you an advantage. ","The interview process explained made perfect sense to me, very descriptive when needed. ","I don't think there was any information missing. ","no","I for sure would experience the human interview process because that is the ""normal"" way of doing it. I think sometime in the future I might experience and AI interview process. ",""
"aquanaut","Male","Asian","21","Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","I couldn't get timely feedback from the machine during the interview.","No","The interview can only judge my oral presentation ability rather than demonstrate my practical ability.","Yes,It's already easy to understand.","No","I would add the possibility of having both a machine and a human interviewer for an interview.","Maybe only human","No"
"Director","Male","Asian","18","Student","Bachelor's Degree","Familiar","No","Somewhat familiar","I think that having an AI judge a person will not fully show the potential of the person. I will be somewhat less inclined to join. There should be a real person to talk and connect with.","I think AI is a very superficial way of judging people. Human judgement is more accurate but can be influenced by possible bias of the interviewer.","AI can be a superficial or surface level way of testing people. Humans have better judgement and you feel more connected to companies when you are talking to a human and sharing your interests with a person who gives us the same energy back.The ability to re-record the answers gives people time to think and this may be misleading of their actual abiltiy.","It made sense","Nothing","Nothing ","I think human interviews will prevail for the most part","Some dream jobs don't involve being working at a company. It maybe working for yourself or being an artist. These jobs do not have interviews. It would be more clarifying to have this detail mentioned."
"Physical Therapy","Female","White","19","Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","I think that since the nature of my dream job is physical therapy, the employers would not be able to actually see and critique my skills from a verbal interview.","Yes","I feel like I could verbally explain my skills and background, but it is not an accurate representation of how I'd be interacting with clients and actually work as a PT.","Yes","None!","Nothing","I do believe so, but I feel like an in person interview would eventually occur over AI",""
"Mathematics Professor","Male","Asian","20","Employed part time","Some college, but no degree","Familiar","Yes","Familiar","How would the AI determine the score from the video answers? Is it based upon both time and information?","Possibly by both since AI will try to make everything even so minorities may have higher scores.","The interview did not allow me to demonstrate my ability in coding for machine learning.","It made sense","How was the scores given for the interview?","Provide how the scores are graded?","I have not yet experienced the AI interview process",""
"CFO","Female","White","18","Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","The idea that an AI machine would be processing my responses and that it would determine whether or not I could pay bills.","Not overly","I feel that the AI is definitely trained to look for certain responses and not everyone is going to display the skills the AI is looking for in the same way, leaving them to be overlooked.","The story made perfect sense to me. It was detailed and thorough.","I think it was well explained.","I would provide an ""unsure"" choice to the ratings section that have the ""minimally and moderately"" answer choices.","I don't think we are at the point of being interviewed by AI yet, but I know AI look over our resumes and weed out the ""bad"" ones.",""
"I want to become a medical doctor and work in a hospital.","Female","White","18","Student","Some college, but no degree","Somewhat familiar","No","Unfamiliar","There was no two way communication in the interview that was conducted with artificial intelligence.","I think that my identity could be threatened by human judgment.","I think that the interview was an accurate assessment of my ability because I had the chance to change my answers in the interview that was conducted by artificial intelligence.","Yes, the interview process explained in the story was fairly easy to understand.","There was nothing missing from the interview process explained in the story.","I would not change anything about this study.","I think that I would experience mostly human interviews for my dream job.",""
"Scientific researcher","Female","White","19","Student","Some college, but no degree","Somewhat familiar","No","Unfamiliar","There could be bias in both, but the AI one would be especially prone to it","I believe so, if someone/something judges you to be something you're not","Interviews are stressful and not everyone does well in that sort of environment. Doing poorly on an interview does not necessarily mean that you would be bad at the job.","Yes, it was clear.","Maybe knowing if we got the job or not","I don't think any changes need to be made","I think that I would most likely experience a human interview if I was applying for my dream job. I have never heard of AI interviews being used so I assume they are not that common yet.",""
"prosthetist and orthotist","Female","White","20","Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","I've done interviews like the second situation that were all online and I did not like how I could not talk to someone or have a two way conversation because personally I do better in conversation during interviews rather than just ""here are the questions now answer them""","I think there's the possibility of misjudgment of our personality with either but I just think that human judgement would be a better judge of character since they can have conversations.","I just feel like you can't understand a person completely from one interview. People have a great ability to put up a front as a hard worker and not be or conversely be poor communicator but be the hardest working one out there.","Made perfect sense to me","None that I can think of","Make it able to go back and forth between the description page and the questions","I would be fine applying either way for a dream job but I think I would have a better chance of getting the job with a human interview","Good survey!"
"Race car designer","Female","White","22","Unemployed looking for work,Student","Some college, but no degree","Familiar","Yes","Very familiar","No concerns","By human, yes. Not as much by AI.","I feel a human would hold bias against a female in an industry that is male dominated, but an AI would only conduct the interview. ","It makes sense ","Nothing was missing. ","","I feel like I would only experience the human interview process. The companies with my dream job aren't as focused on innovation in the interview processes, but more the actual products they produce. ",""
"attorney","Female","White","20","Student","Some college, but no degree","Somewhat unfamiliar","Yes","Somewhat familiar","It concerened me that they were only basing the interview off the score a person got from the AI and not looking at what the person said.","yes","It was not an accurate assessment because it only focused on a score and acheiving a higher score and not a persons ability to do that job.","It made sense","none","Nothing I think it was very good.","I would not do an AI interview because there is so much room for error in that situation and it could cost you a great job.",""
"Private Equity: Buyer/Merger ","Male","White","18","Student","Some college, but no degree","Somewhat unfamiliar","Yes","Somewhat familiar","None","Somewhat","Interviews test you in a way to see your character and how you respond to questions. The best interviews require you to go out and show the boss your skills in person. ","It made sense, but maybe throw in one of the interview questions so we kind of know what direction they are going in. ","I stated that in the last question. ","I don't know, maybe move this question to the end.","I would like a human to talk to. But I do feel like that is the way the world is going. ",";)"
"Product design","Female","White","18","Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","I believe an interview should be in person because even if you answer all the questions correctly that does not determine if yo have good social skills and you need good social skills to be effective in jobs no matter how good you are at your job if you can not communicate what you need to get across.","I do not think AI should run interviews, I do not think that is a very accurate representation of how jobs should be run.","For any jobs you need to be able to communicate with other people about you ideas and ways to improve you work space and what you are supposed to be doing in your job, working for a company of any sort require team work and the ability to communicate your opinions and with a AI interview it is not seen whether or not you are able to do that.","everything made sense to me","maybe whether or not you give them your resume","no","I would definitely say most will probably experience a human interview or a mix o f human and AI interview but I don't think there will be any just AI interviews.  ",""
"financial work","Male","Asian","20","Student","Some college, but no degree","Somewhat familiar","No","Unfamiliar","What do you think your strengths are good for?","Maybe","Some people are good at expressing themselves in interviews, while others are more inclined to express themselves at work","yearning and forced","no","","yes",""
"Executive in a Sports Organization","Male","White","19","Employed full time","Bachelor's Degree","Somewhat familiar","Yes","Somewhat familiar","None","No","I think both interview styles would work well. If the AI interview did not have a webcam I would say the human interview would be better because just hearing some ones voice does not pick on human gestures like moving of hands while talking.  ","The process made sense to me.","I think the interviews explained were detailed and were not missing anything. ","No","Yes, I think the interview for my dream job would only be done in person though.",""
"Not sure","Male","White","21","Employed part time,Student","Some college, but no degree","Somewhat unfamiliar","Yes","Somewhat familiar","The second one was pretty basic, the first one seems to be kind of limiting in that you don't really get to talk to anyone.","Yes if given enough control","I don't think just an interview is an accurate assessment of anyone's ability, but it's about the best we can do.","Yes","None","Nothing","Probably the human one",""
