"id","condition","AVI.id","procjust","interjust","orgjust","genatrct","intpurs","prest","orgatrct","compete","socresp","support","innovate"
1,"AVI",1,1.78,1,1.39,2.6,1.2,2.2,2,1.5,1.25,1,1.5
1,"Traditional",0,3.33,4.78,4.06,3.8,4.6,4.4,4.27,3,3.75,4.75,2.5
2,"AVI",1,3.56,3,3.28,3.4,5,4.8,4.4,4,3.5,4,3.5
2,"Traditional",0,4.11,4.67,4.39,4.2,4.8,5,4.67,4.5,4.5,4.25,4
3,"AVI",1,2.33,2.22,2.28,2.6,2,2.6,2.4,3.25,2.5,2.25,3.25
3,"Traditional",0,3.78,3.67,3.72,4,4.2,4,4.07,4,3.75,3.5,3.75
4,"AVI",1,3.44,3.11,3.28,3.6,4.2,3.8,3.87,3.75,4,3.5,3.75
4,"Traditional",0,4.44,4.89,4.66,4.4,5,4.8,4.73,4.25,4.75,4.5,4.25
5,"AVI",1,4,2.78,3.39,3.2,3.8,3.8,3.6,3,3,2.5,3.75
5,"Traditional",0,3.11,3.33,3.22,3.2,3.6,3,3.27,3,3,2.5,2.75
6,"AVI",1,3,1.33,2.16,3,1.8,2,2.27,3,2.75,2.5,3
6,"Traditional",0,3.89,4.78,4.34,4.2,5,3.8,4.33,4.5,4,4.75,4.25
7,"AVI",1,3.44,2.67,3.05,2.6,3.4,3,3,4.25,4.75,4,5
7,"Traditional",0,3.78,4.56,4.17,4,4.6,5,4.53,4.75,4.5,4,4.5
8,"AVI",1,3.33,3.33,3.33,3.6,4.6,4.4,4.2,3.75,3.75,3.75,3.5
8,"Traditional",0,4.11,4.89,4.5,4.2,5,4.6,4.6,4.75,4.5,4.75,4.5
9,"AVI",1,4.44,4,4.22,3.4,4.2,4,3.87,3.75,3.75,3,3.75
9,"Traditional",0,4,4.78,4.39,3.8,4.4,4.2,4.13,3,3.25,3.25,3
10,"AVI",1,2.67,2.22,2.45,3.2,2.8,2.8,2.93,3,3,2.75,3.5
10,"Traditional",0,3.56,4.33,3.95,4,4,3.6,3.87,3.5,3.25,3.25,3
11,"AVI",1,2.78,2.56,2.67,3.2,2.8,2.8,2.93,3.25,2.5,2,3.25
11,"Traditional",0,2.44,4.67,3.55,4.2,4.2,3.6,4,2.75,3,3,2.75
12,"AVI",1,3.11,2,2.55,3.6,4.6,4.4,4.2,4.5,3.75,3.5,4
12,"Traditional",0,4.22,4.78,4.5,4.2,4.8,4.8,4.6,4.75,4.5,4.25,4.5
13,"AVI",1,4.44,3.89,4.16,3.4,5,NA,NA,5,4.25,4.5,5
13,"Traditional",0,3.67,4,3.84,4.2,4.8,4.8,4.6,5,3.5,3.25,4
14,"AVI",1,3.56,2.89,3.22,3.6,4.2,4.4,4.07,4,2.75,2.25,4.5
14,"Traditional",0,2.44,3.33,2.88,2.8,3.2,3.4,3.13,3,2.25,2,3.75
15,"AVI",1,3.67,4.11,3.89,3.4,4.6,4,4,5,4.75,5,5
15,"Traditional",0,4.11,4.89,4.5,4.2,5,3.8,4.33,4.75,5,4.75,4.75
16,"AVI",1,3.67,3.44,3.55,3.2,4.2,4.8,4.07,4.75,4.25,3.25,3.75
16,"Traditional",0,3,2.89,2.95,3.6,2.8,2.8,3.07,3.25,3,3.25,3.75
17,"AVI",1,4.22,4.44,4.33,3.2,4.8,4.6,4.2,4.75,3.75,4.25,4.5
17,"Traditional",0,4.78,5,4.89,4.2,5,4.8,4.67,4.75,3.75,3.75,4.25
18,"AVI",1,3.11,2.22,2.66,2.8,2.2,2.2,2.4,2.75,2,1.25,2.75
18,"Traditional",0,3.22,4.67,3.95,3,3.4,3,3.13,2.5,2.75,3.25,2.75
19,"AVI",1,3.11,2.11,2.61,3,2.6,4,3.2,4,3.5,3,4.5
19,"Traditional",0,2.56,4.11,3.34,3.6,4,3.8,3.8,4,4.5,3.75,3.75
20,"AVI",1,2.89,2.33,2.61,2.8,2.6,2.8,2.73,2.5,2.5,2,2.5
20,"Traditional",0,2.44,3.67,3.05,3.6,4,3.8,3.8,3.75,4,3.5,3.25
21,"AVI",1,2.11,1.33,1.72,2.4,1.2,2.6,2.07,3.5,2.5,NA,2.25
21,"Traditional",0,3.44,4.44,3.94,3.4,4.4,4.6,4.13,4,4.25,2.75,NA
22,"AVI",1,3.22,NA,NA,3.6,4.2,3.6,3.8,4.75,4.25,3.25,3
22,"Traditional",0,3.89,4,3.95,4,3.8,3.8,3.87,3.5,3.5,3.75,3
23,"AVI",1,2.78,1.78,2.28,2.8,2.2,1.8,2.27,2,NA,1,3
23,"Traditional",0,3.56,2.89,3.22,2.2,2,2,2.07,1,1.5,1,1
24,"AVI",1,3.11,2.67,2.89,3.4,4.8,5,4.4,4,4,3.75,3.75
24,"Traditional",0,4.22,5,4.61,4.2,4.8,5,4.67,4.25,4,4.75,4.25
25,"AVI",1,2.56,1.44,2,3,4.4,3.4,3.6,4.25,4,5,4.5
25,"Traditional",0,3.44,3.78,3.61,3.4,3.4,3.6,3.47,4.25,4,4.5,4.25
26,"AVI",1,3.89,3.11,3.5,3.6,4,4.2,3.93,4,4.25,3.75,4
26,"Traditional",0,3.56,4.22,3.89,4.2,4.6,4.4,4.4,3.25,4.75,4.5,4
27,"AVI",1,2.78,2.67,2.72,3.4,4.8,4.8,4.33,4.75,4,4,3.25
27,"Traditional",0,4.67,4.89,4.78,4.2,5,4.8,4.67,4.75,4.25,4,4.5
28,"AVI",1,2.89,2.78,2.84,2.4,3,3,2.8,2.75,2.25,2.25,2.75
28,"Traditional",0,2.67,3.89,3.28,4.2,4.6,4.2,4.33,3.75,3.75,3,5
29,"AVI",1,4.44,3.33,3.89,3.4,4.6,3.8,3.93,4,4,3.75,4
29,"Traditional",0,3,4.33,3.66,4.2,4.2,4.2,4.2,2.75,4.5,4.25,3
30,"AVI",1,2.44,2.33,2.38,2.8,2.6,2.2,2.53,1.5,2,1.75,2
30,"Traditional",0,3.67,4.44,4.06,3.4,3.8,3.8,3.67,3.75,3.75,4,2.75
31,"AVI",1,3.67,4.67,4.17,3.6,4.6,3.6,3.93,3.5,4.25,4,3.5
31,"Traditional",0,3.22,4.56,3.89,4.2,4.8,4.2,4.4,4.25,4,3.5,3
32,"AVI",1,2.56,2.89,2.72,3.4,1.6,2,2.33,2,2.75,1.25,2.5
32,"Traditional",0,2,4.33,3.16,3.6,3.6,3.2,3.47,2.5,3.5,3.5,2
33,"AVI",1,2.78,3,2.89,3.4,3.6,3.8,3.6,2.75,2.75,2.25,4
33,"Traditional",0,4.11,4.89,4.5,4.2,4.8,4.4,4.47,2.75,2.75,3,2
34,"AVI",1,3.44,2.89,3.16,3.4,3.4,4.4,3.73,4.75,3.5,2.25,4
34,"Traditional",0,2.56,3.11,2.84,3.6,3.2,2.8,3.2,3.25,2.25,2.25,2.5
35,"AVI",1,3.22,3.33,3.28,3.6,3.4,3.2,3.4,3.75,3,3,3.75
35,"Traditional",0,3.44,4.22,3.83,4.2,4.2,4.6,4.33,3.25,NA,2.5,3.25
